title,author,category,read_date,description,rating,review,cover_image,page_count
아무튼,아고타 크리스토프,스리픽,2025-07-01,,2.0,얇아서 호기롭게 집어 들었는데... 어떤 내용인지 기억에 잘 안남는 책이었다.,/static/uploads/f7d49b11-24a3-4208-ac8c-ec74409d51da.jpg,113
헌등사,다와다 요코,스리픽,2025-07-01,,4.0,,/static/uploads/47c6b729-e2ff-4ce5-ae2c-ba7f89d285b8.jpeg,369
달과 6펜스,서머싯 몸,스리픽,2025-08-01,나는 그림을 그려야 한다지 않소. 그리지 않고서는 못 베기겠단 말이오. 물에 빠진 사람에게 헤엄을 잘 치고 못 치고가 문제겠소? 우선 헤어나오는게 중요하지. 그렇지 않으면 빠져 죽어요.,5.0,"주인공의 마구잡이식 행보... 그리고 어느 정도의 낭만, 예술에 대한 집착, 사랑까지.",/static/uploads/3b730550-0a0f-4f0e-a2d2-fe0eddc7039d.jpg,200
꿈에대하여,요시모토 바나나,스리픽,2025-08-01,,3.0,꿈에 대해 관심이 많은 작가의 소소한 생각들을 들을 수 있어서 좋았다. 친구랑 이야기 하는 느낌으로 쉽게 읽을 수 있던 책. 꿈 메모를 한다던 채윤이가 생각났다.,/static/uploads/06829b24-a167-43be-b827-2970f62fc69f.jpg,117
히든 픽처스,제이슨 르쿨락,스리픽,2025-08-01,"쇼츠, 릴스 너무 많이 봐서 고민이라면? 당장 이 책 빌려서 읽으면 됨! 뒷 이야기가 너무너무 궁금해지는 도파민 파티 소설",4.5,너무 흥미진진해서 앉은 자리에서 뚝딱 읽어버렸다! 중간중간 들어있는 삽화가 몰입도를 높여줌.,/static/uploads/71cce30d-41ba-4c79-baf2-2b9d5bfd05ba.jpg,553
버진 수어사이드, 제프리 유제니디스,스리픽,2025-08-01,이 집을 벗어나기 위해 자살을 택한 소녀들.,5.0,"""그날 아침은 리즈번가에 남은 마지막 딸이 자살할 차례였다.""로 시작하는 충격적인 내용의 책. 어떻게 독서를 시작하지 않을 수 있겠어?!",/static/uploads/15b79cfb-7638-4905-ae13-df36d3f0b5d6.jpeg,481
노르웨이의 숲,무라카미 하루키,스리픽,2025-08-01,"허무함, 공허함, 상실감 그리고 사랑. ",3.5,내가 어렸을 때 이런 내용의 책을 읽었다고?! 아끼는 사람들을 잃은 와타나베가 잘 살아나갈 수 있을지 걱정된다. 상실감으로 흔들리는 청춘에 대한 극적인 이야기. ,/static/uploads/a6fd8039-dc9d-4b75-a02c-40422e9e28d7.jpg,687
서부 전선 이상 없다,에리히 마리아 레마르크,스리픽,2025-08-01,,4.5,"넷플에서 영화 보고 책까지 읽음! 영화만큼 재밌었고, 주인공과 친구들의 허무한 죽음이 안타까웠다.",/static/uploads/14281039-9afb-429e-be42-f86bb49d0182.jpg,246
완전한 행복,정유정,스리픽,2025-08-01,,4.0,텍스트로 보는 영화 한 편! 너무 재밌어서 앉은 자리에서 뚝딱 읽었다. 유튜브 왜 봐? 이거 읽으면 되는데!,/static/uploads/a601ae4f-8718-495d-a584-b0867ad4357b.jpg,673
두고온 여름,성해나,스리픽,2025-08-01,,3.0,"그땐 그랬지, 나한테 이런 일들이 있었지, 하는 담담한 이야기. 이제는 더이상 만날 수 없는 인연, 그리고 굳이 물어보지 않아도 되는 어렴풋한 과거를 뒤로하는 이야기.",/static/uploads/eb06d048-3374-4875-a86c-05b9920b43b6.jpeg,139
삼체1: 삼체문제,류츠신,스리픽,2025-08-01,"드라마보다 더 재밌는 소설. 책을 읽기 전엔 '삼체'가 뭔지도 몰랐는데, 우주에 대해 공부하게 된달까.",4.0,두께에 압도되지 말 것! 서서히 쌓아나가는 인물들의 서사와 세세하게 짜여진 세계관이 견고하다. 대작의 시작.,/static/uploads/055e9e2f-b827-425e-bd2e-ab93b4399350.jpg,626
김용호: 거짓말엔 이제 지쳤다,장진영,스리픽,2025-08-01,,3.5,잊을 수는 없는 거니? 네. -- 이 짧은 대화가 강렬히 남았다.,/static/uploads/43e27527-fde8-4e3a-b95b-4a229588d177.jpg,46
작은 땅의 야수들,김주혜,스리픽,2025-08-01,,3.0,,/static/uploads/08bcb44e-da00-459a-9d65-ce092897b523.jpg,815
데미안,헤르만 헤세,스리픽,2025-09-01,새는 알에서 나오려고 투쟁한다. 알은 세계다. 태어나려는 자는 한 세계를 파괴해야만 한다. 새는 신에게 날아간다. 신의 이름은 아브락사스다.,3.5,"여러 번 읽어도 새로운 책. ""눈을 감아, 싱클레어.""로 영업되어 시작된 데미안과의 사투. 이 책을 이해하기위해 또다른 노력이 더 필요할 듯🥲",/static/uploads/bf4ab569-4bfd-48f9-bfc0-18c195b3bfc9.jpg,376
아Q정전,루쉰,스리픽,2025-10-01,"신혼여행가는 비행기 안에서 읽음! 어렸을 때부터 집에 있었는데, 서른 살이 되어서야 읽네요",3.5,"패배주의, 노예근성, 정신승리 그 자체인 아Q. 그의 기이한 행동들을 보고 있자면 마음이 아플 지경이다. 다 읽고 나서 이 작품의 의의와 영향력을 알아보는 재미도 있다!",/static/uploads/3e34b8af-9a13-4c5f-b31e-083df4943ca0.jpg,399
삼체2: 암흑의 숲,류츠신,스리픽,2025-09-01,찬희님의 추천 도서,3.5,방대한 세계관을 끌어나가는 작가의 역량이 대단하다. 이 책의 모든 것을 이해하지 못해도 계속 읽을 수 있으니 힘내세요!,/static/uploads/4e64bc7e-c0ae-4ddd-a696-398277631a89.jpg,708
분실물이 돌아왔습니다,김혜정,스리픽,2025-10-01,튀르키예 시린제 마을에서 만난 아이샤가 읽고있다고 했던 책,2.5,예전에 읽었던 <달러구트 꿈 백화점>이 생각나는 책. 아동 도서 같은 느낌이어서 읽다가 흥미가 떨어졌지만 끝까지 읽었다!,/static/uploads/e59dd4ab-f7f8-43a2-b2b3-f12d81aa9df0.jpeg,310
배를 엮다,미우라 시온,스리픽,2025-10-01,우연히 유튜브 쇼츠에서 이 소설을 원작으로 한 애니메이션을 보게 되었는데... 재밌어 보이잖아?!,3.5,"사전을 만드는 사람들의 이야기. ""오른쪽""에 대해 물어보면 뭐라고 답하시겠어요? 방향? 이념? 옳고 그름?",/static/uploads/1df0c76d-74b9-449b-9eb6-d24117f8fbdb.jpeg,335
앵무새 죽이기,하퍼 리 Harper Lee,스리픽,2025-11-01,신념을 지키는 아버지의 모습을 아이의 시선으로 담은 이야기. ,4.0,어렵지 않게 즐겁게 읽은 책. 바르다고 생각하는 방향으로 꿋꿋이 나아가는 일은 언제나 어려운 일이다.,/static/uploads/5b0136dc-525e-42b7-b462-e6a9da8f9983.jpeg,671
사탄탱고,크러스너호르커이 라슬로,스리픽,2025-11-01,,0.0,,/static/uploads/16af6d4e-e71a-41c2-80a3-0cdff69f6d30.jpg,385
야밤의 공대생 만화,맹기완,스리픽,2025-06-01,2017년 쯤 유행(?)하던 야공만 책을 알라딘 중고서점에서 발견!,5.0,"저명한 과학자, 수학자, 그리고 각종 천재들의 재미있는 일화를 담은 만화책. 작가님이 이제 교수님이 되셔서 그림을 더 안 그리시는게 아쉽다. 남편과의 연애 초 같이 재미있게 읽었었는데, 이번에 단행본을 사서 한 번 더 읽게 되어 좋았다.",/static/uploads/7bd4c2d3-8c43-4238-8085-245d20cc8a8e.jpg,393
